,year,CO2,CH4,N2O,CFC11,CFC12,solaire,chlore,GHG
126,1891,294.325,858.25,279.2,0.0,1.0331,1360.7411,490.172,0.530694587
127,1892,294.475,860.75,279.3,0.0,1.0788,1360.8393,490.622,0.536189734
128,1893,294.6,863.0,279.375,0.0,1.1267,1360.9798,491.094,0.54100009
129,1894,294.7,865.0,279.425,0.0,1.1769,1361.0748,491.588,0.545061967
130,1895,294.8,867.25,279.475,0.0,1.2291,1360.9589,492.102,0.549327143
131,1896,294.9,869.75,279.525,0.0,1.2835,1360.7786,492.638,0.553795005
132,1897,295.025,872.0,279.6,0.0,1.3406,1360.6337,493.2,0.558592588
133,1898,295.225,874.25,279.675,0.0,1.4001,1360.611,493.786,0.564746337
134,1899,295.5,876.75,279.725,0.0,1.4623,1360.5594,494.398,0.572374147
135,1900,295.8,879.5,279.8,0.0,1.5438,1360.5288,495.038,0.580740888
136,1901,296.125,883.0,279.9,0.0,1.6287,1360.4509,495.704,0.590245433
137,1902,296.475,887.0,280.0,0.0,1.6991,1360.4595,496.38,0.600644942
138,1903,296.825,891.25,280.1,0.0,1.7693,1360.6688,497.052,0.611284852
139,1904,297.2,895.75,280.2,0.0,1.8393,1360.938,497.722,0.622558888
140,1905,297.625,900.25,280.3,0.0,1.9094,1360.7497,498.392,0.634712156
141,1906,298.075,904.75,280.4,0.0,1.9825,1360.9455,499.09,0.64729331
142,1907,298.5,909.25,280.525,0.0,2.0756,1360.8301,499.984,0.659493915
143,1908,298.9,914.0,280.675,0.0,2.186,1360.8949,501.048,0.671513373
144,1909,299.3,919.0,280.825,0.0,2.2967,1360.7847,502.112,0.683709636
145,1910,299.7,923.75,280.975,0.0,2.4074,1360.6519,503.176,0.695685208
146,1911,300.075,928.25,281.125,0.0,2.5181,1360.5686,504.238,0.706995843
147,1912,300.425,933.0,281.3,0.0,2.6332,1360.5224,505.342,0.717938583
148,1913,300.775,938.25,281.475,0.0,2.7956,1360.5389,506.906,0.729083931
149,1914,301.1,943.75,281.625,0.0,2.9904,1360.6056,508.784,0.739884849
150,1915,301.4,949.25,281.8,0.0,3.1118,1360.9091,509.936,0.750280369
151,1916,301.725,954.75,282.0,0.0,3.1699,1361.1184,510.464,0.761162262
152,1917,302.075,960.25,282.225,0.0,3.2832,1361.2668,511.532,0.772567461
153,1918,302.4,966.0,282.475,0.0,3.475,1361.2286,513.372,0.783809155
154,1919,302.7,972.0,282.7,0.0,3.6908,1361.0,515.446,0.794701066
155,1920,303.025,977.75,282.925,0.0,3.9068,1360.8381,517.52,0.80582055
156,1921,303.4,983.25,283.175,0.0,4.1235,1360.7334,519.598,0.817693307
157,1922,303.775,989.0,283.4,0.0,4.3408,1360.6159,521.68,0.829791433
158,1923,304.125,995.0,283.6,0.0,4.5663,1360.6475,523.74,0.841675416
159,1924,304.525,1001.0,283.8,0.0,4.8042,1360.679,525.8,0.85441729
160,1925,304.975,1007.0,284.0,0.0,5.0468,1360.8824,527.88,0.86801254
161,1926,305.4,1013.0,284.225,0.0,5.3094,1360.9831,530.14,0.881231699
162,1927,305.825,1019.0,284.45,0.0,5.592,1361.166,532.58,0.89442948
163,1928,306.3,1025.0,284.625,0.0,5.8763,1361.0441,535.02,0.908306797
164,1929,306.775,1030.75,284.8,0.0,6.1626,1361.0031,537.46,0.92197169
165,1930,307.225,1036.25,284.975,0.0,6.4528,1360.9853,539.92,0.934989836
166,1931,307.7,1041.75,285.125,0.0,6.764,1360.8638,542.38,0.948340368
167,1932,308.175,1047.25,285.3,0.0,7.0794,1360.757,544.8249,0.961683176
168,1933,308.6,1052.75,285.5,0.0,7.3885,1360.6366,547.3345,0.974147168
169,1934,309.0,1058.0,285.7,0.0,7.7612,1360.7482,550.4441,0.98599331
170,1935,309.4,1063.0,285.9,0.0,8.1961,1360.9638,554.1025,0.997656852
171,1936,309.75,1068.0,286.1,0.0,8.6407,1361.3518,557.7747,1.008440341
172,1937,310.0,1073.0,286.275,0.0,9.0957,1361.2864,561.4612,1.017399503
173,1938,310.175,1078.0,286.425,0.0,9.5714,1361.2221,565.1809,1.024973265
174,1939,310.3,1083.0,286.575,0.0035,10.0759,1361.2058,568.9592,1.031682542
175,1940,310.375,1088.25,286.725,0.0105,10.6138,1361.1435,572.8048,1.037708292
176,1941,310.375,1093.75,286.9,0.0173,11.21,1361.0646,576.8996,1.04270963
177,1942,310.3,1099.0,287.1,0.024,11.8751,1360.9618,581.3126,1.047059084
178,1943,310.2,1104.0,287.3,0.0305,12.5962,1360.8046,585.8917,1.051532018
179,1944,310.125,1109.25,287.525,0.0404,13.3708,1360.8344,590.5796,1.056703477
180,1945,310.1,1114.75,287.775,0.0536,14.2202,1361.1004,595.4026,1.063011
181,1946,310.125,1120.5,288.025,0.07,15.2355,1361.1982,600.5938,1.070398346
182,1947,310.2,1126.75,288.275,0.1002,16.6013,1361.4367,606.6776,1.079100553
183,1948,310.325,1133.25,288.525,0.1649,18.4562,1361.5668,614.3877,1.088989216
184,1949,310.5,1140.0,288.775,0.2881,20.6691,1361.4736,623.4086,1.100024958
185,1950,310.75,1147.25,289.0,0.4966,23.2514,1361.2321,635.0773,1.112735381
186,1951,311.1,1155.0,289.2,0.8132,25.9604,1360.9963,647.0694,1.127471804
187,1952,311.5,1163.5,289.425,1.1675,28.4909,1360.9874,656.7255,1.143999489
188,1953,311.925,1172.75,289.675,1.577,31.0611,1360.8487,666.6975,1.161953632
189,1954,312.425,1182.25,289.9,2.149,33.8561,1360.8766,678.074,1.181351061
190,1955,313.0,1192.0,290.125,2.886,36.9951,1360.9971,691.8835,1.202305284
191,1956,313.6,1202.25,290.375,3.795,40.5451,1361.5288,709.0935,1.224228717
192,1957,314.225,1213.0,290.6,4.921,44.5653,1361.8848,729.367,1.246977412
193,1958,314.8475,1224.0,290.825,6.2365,49.089,1361.8496,752.0925,1.269998893
194,1959,315.5,1235.25,291.1,7.557,53.9947,1361.6005,776.2355,1.293920551
195,1960,316.2725,1247.0,291.4,8.8185,59.2877,1361.4947,801.5365,1.320328777
196,1961,317.075,1259.25,291.675,10.2955,65.2439,1361.1392,829.4375,1.347678266
197,1962,317.795,1272.0,291.925,12.235,71.9392,1360.9683,860.5255,1.374746278
198,1963,318.3975,1285.0,292.225,14.715,79.4469,1360.9164,895.3065,1.401079451
199,1964,318.925,1298.25,292.6,17.795,88.0742,1360.9177,934.3625,1.426997797
200,1965,319.6475,1312.0,293.0,21.495,97.9439,1360.954,977.722,1.457063661
201,1966,320.6475,1326.0,293.4,25.775,109.0033,1361.1371,1025.4755,1.492365691
202,1967,321.605,1340.25,293.8,30.575,121.3106,1361.3329,1078.0935,1.52754113
203,1968,322.635,1355.0,294.225,35.955,135.0808,1361.3828,1136.613,1.56481296
204,1969,323.9025,1370.25,294.7,42.05,150.4574,1361.4657,1201.3255,1.607065344
205,1970,324.985,1385.75,295.2,49.05,167.4217,1361.4608,1272.3775,1.647103473
206,1971,325.855,1401.25,295.7,57.065,185.8539,1361.1771,1348.9615,1.684243064
